권역,출처,매물ID,매물URL,매물명,주소,위도,경도,주거유형,보증금_만원,월세_만원,관리비_만원,가격표기,층정보,계약면적_m2,전용면적_m2,방향,확인일자,설명,원문태그,서울대거리_m,기준역거리_m,가까운기준점,편의성,편의성_라벨,안전도,공동현관_비밀번호,지상층여부,대로변_가까움,CCTV,관리인_상주,가로등,safety_score_100,safety_score_10,safety,안전최종,안전도,안전등급,안전_공공환경,안전_건물보정,안전_cctv,가까운_cctv_m,cctv_반경내개수,안전_lighting,가까운_lighting_m,lighting_반경내개수,안전_police,가까운_police_m,police_반경내개수,안전_safe_route,가까운_safe_route_m,safe_route_반경내개수,안전_emergency,가까운_emergency_m,emergency_반경내개수,안전_백분위,name,address,lat,lng,deposit,monthly_rent,maintenance_fee,convenience,monthly_transport
서울대입구역,synthetic_market_model,SYN0013,,봉천동 분리형원룸 013,서울 관악구 봉천동,37.479744,126.9516539,분리형원룸,2450,59,5,"월세 2,450/59",반지하/5층,26.2,19.9,북향,2026.06.09,풀옵션; 주차 가능; 분리형; 역세권 도보권; 학교 접근성 양호,풀옵션; 주차 가능; 분리형; 역세권 도보권,2200,188,서울대입구역,8,풀옵션; 주차 가능; 분리형; 역세권 도보권; 학교 접근성 양호,,X,X,X,O,X,X,14.65,1.46,1.46,1.46,1.46,D,1.18,2.0,0.0,308.2,0,0.0,308.2,0,5.88,547.5,2,0.0,301.2,0,0.0,252.0,0,3.3,봉천동 분리형원룸 013,서울 관악구 봉천동,37.479744,126.9516539,2450,59,5,8,2.0
서울대입구역,synthetic_market_model,SYN0014,,봉천동 원룸 014,서울 관악구 봉천동,37.4826779,126.9561516,원룸,2550,45,10,"월세 2,550/45",2/5층,31.5,23.6,남서향,2026.05.18,옵션 언급; 주차 가능; 채광 양호; 역세권 도보권,옵션 언급; 주차 가능; 채광 양호; 역세권 도보권,2536,344,서울대입구역,8,옵션 언급; 주차 가능; 채광 양호; 역세권 도보권,,X,O,O,O,X,O,27.69,2.77,2.77,2.77,2.77,D,1.3,5.5,0.0,354.4,0,0.0,353.5,0,6.5,500.3,1,0.0,354.6,0,0.0,353.5,0,15.6,봉천동 원룸 014,서울 관악구 봉천동,37.4826779,126.9561516,2550,45,10,8,2.0
서울대입구역,synthetic_market_model,SYN0015,,봉천동 원룸 015,서울 관악구 봉천동,37.4834764,126.9599236,원룸,1400,57,7,"월세 1,400/57",고층 12/15층,28.8,21.8,남향,2026.05.18,옵션 언급; 채광 양호; 기준역 도보권,옵션 언급; 채광 양호; 기준역 도보권,2678,684,서울대입구역,6,옵션 언급; 채광 양호; 기준역 도보권,,X,O,X,O,X,O,25.87,2.59,2.59,2.59,2.59,D,1.02,5.5,0.0,538.7,0,0.0,519.6,0,5.09,608.3,1,0.0,513.4,0,0.0,519.6,0,11.1,봉천동 원룸 015,서울 관악구 봉천동,37.4834764,126.9599236,1400,57,7,6,2.0
서울대입구역,synthetic_market_model,SYN0016,,봉천동 빌라 016,서울 관악구 봉천동,37.4844619,126.9556332,빌라,2500,50,8,"월세 2,500/50",고층 5/8층,53.5,35.7,남동향,2026.06.03,옵션 언급; 엘리베이터; 주차 가능; 채광 양호; 역세권 도보권,옵션 언급; 엘리베이터; 주차 가능; 채광 양호,2729,443,서울대입구역,8,옵션 언급; 엘리베이터; 주차 가능; 채광 양호; 역세권 도보권,,O,O,X,X,X,X,35.31,3.53,3.53,3.53,3.53,D,1.93,6.5,3.87,222.5,7,0.0,190.1,0,3.85,703.8,2,0.0,175.3,0,0.0,190.1,0,23.3,봉천동 빌라 016,서울 관악구 봉천동,37.4844619,126.9556332,2500,50,8,8,2.0
서울대입구역,synthetic_market_model,SYN0017,,봉천동 투룸 017,서울 관악구 봉천동,37.4820639,126.9451894,투룸,2050,85,8,"월세 2,050/85",3/7층,46.2,33.0,남향,2026.05.27,신축/준신축; 풀옵션; 투룸 구조; 채광 양호; 기준역 도보권,신축/준신축; 풀옵션; 투룸 구조; 채광 양호,2553,670,서울대입구역,8,신축/준신축; 풀옵션; 투룸 구조; 채광 양호; 기준역 도보권,,O,O,O,O,X,O,42.1,4.21,4.21,4.21,4.21,D,1.09,10.0,0.0,442.3,0,0.0,431.3,0,5.46,580.1,1,0.0,418.8,0,0.0,408.4,0,44.4,봉천동 투룸 017,서울 관악구 봉천동,37.4820639,126.9451894,2050,85,8,8,2.0
서울대입구역,synthetic_market_model,SYN0018,,봉천동 빌라 018,서울 관악구 봉천동,37.4811843,126.9526664,빌라,1900,62,6,"월세 1,900/62",4/5층,55.6,37.5,북향,2026.05.27,신축/준신축; 옵션 언급; 엘리베이터; 역세권 도보권,신축/준신축; 옵션 언급; 엘리베이터; 역세권 도보권,2356,5,서울대입구역,8,신축/준신축; 옵션 언급; 엘리베이터; 역세권 도보권,,O,O,O,O,X,O,57.35,5.74,5.74,5.74,5.74,C,3.44,10.0,6.76,164.7,4,0.0,164.7,0,6.0,538.6,3,0.0,156.8,0,2.1,129.0,1,75.6,봉천동 빌라 018,서울 관악구 봉천동,37.4811843,126.9526664,1900,62,6,8,2.0
서울대입구역,synthetic_market_model,SYN0019,,봉천동 빌라 019,서울 관악구 봉천동,37.4834567,126.9490149,빌라,700,69,9,월세 700/69,반지하/3층,39.1,26.7,남동향,2026.06.03,신축/준신축; 풀옵션; 엘리베이터; 주차 가능; 복층; 채광 양호; 역세권 도보권,신축/준신축; 풀옵션; 엘리베이터; 주차 가능,2634,410,서울대입구역,10,신축/준신축; 풀옵션; 엘리베이터; 주차 가능; 복층; 채광 양호; 역세권 도보권,,O,X,X,X,O,O,39.47,3.95,3.95,3.95,3.95,D,1.76,8.0,1.9,262.1,4,0.0,262.1,0,5.98,539.7,2,0.0,265.2,0,0.0,264.7,0,38.9,봉천동 빌라 019,서울 관악구 봉천동,37.4834567,126.9490149,700,69,9,10,2.0
서울대입구역,synthetic_market_model,SYN0020,,봉천동 빌라 020,서울 관악구 봉천동,37.4813756,126.9527125,빌라,1050,61,8,"월세 1,050/61",고층 10/12층,53.5,38.6,서향,2026.06.03,풀옵션; 즉시입주 가능; 역세권 도보권,풀옵션; 즉시입주 가능; 역세권 도보권,2378,17,서울대입구역,7,풀옵션; 즉시입주 가능; 역세권 도보권,,X,O,O,O,X,O,44.58,4.46,4.46,4.46,4.46,D,3.9,5.5,7.6,148.1,4,0.0,148.1,0,5.87,548.3,3,0.82,140.1,1,3.2,118.0,2,52.2,봉천동 빌라 020,서울 관악구 봉천동,37.4813756,126.9527125,1050,61,8,7,2.0
서울대입구역,synthetic_market_model,SYN0021,,봉천동 빌라 021,서울 관악구 봉천동,37.4788864,126.9514838,빌라,850,63,13,월세 850/63,반지하/5층,47.8,32.0,남서향,2026.06.09,신축/준신축; 옵션 언급; 주차 가능; 채광 양호; 역세권 도보권; 학교 접근성 양호,신축/준신축; 옵션 언급; 주차 가능; 채광 양호,2106,280,서울대입구역,9,신축/준신축; 옵션 언급; 주차 가능; 채광 양호; 역세권 도보권; 학교 접근성 양호,,O,X,X,O,X,O,36.14,3.61,3.61,3.61,3.61,D,1.25,8.0,0.0,404.4,0,0.0,404.4,0,6.26,518.5,2,0.0,397.4,0,0.0,347.6,0,24.4,봉천동 빌라 021,서울 관악구 봉천동,37.4788864,126.9514838,850,63,13,9,2.0
서울대입구역,synthetic_market_model,SYN0022,,봉천동 원룸 022,서울 관악구 봉천동,37.4794481,126.9531714,원룸,1050,50,8,"월세 1,050/50",1/3층,28.7,21.9,남향,2026.06.09,신축/준신축; 풀옵션; 엘리베이터; 채광 양호; 역세권 도보권; 학교 접근성 양호,신축/준신축; 풀옵션; 엘리베이터; 채광 양호,2163,200,서울대입구역,9,신축/준신축; 풀옵션; 엘리베이터; 채광 양호; 역세권 도보권; 학교 접근성 양호,,O,X,X,O,X,X,39.11,3.91,3.91,3.91,3.91,D,1.44,8.5,0.0,360.4,0,0.0,360.4,0,7.2,409.8,2,0.0,352.5,0,0.0,315.3,0,36.7,봉천동 원룸 022,서울 관악구 봉천동,37.4794481,126.9531714,1050,50,8,9,2.0
서울대입구역,synthetic_market_model,SYN0023,,봉천동 빌라 023,서울 관악구 봉천동,37.4811676,126.9525273,빌라,1700,50,8,"월세 1,700/50",2/4층,61.1,43.1,남향,2026.06.03,채광 양호; 역세권 도보권,채광 양호; 역세권 도보권,2355,17,서울대입구역,7,채광 양호; 역세권 도보권,,O,O,X,X,X,O,50.98,5.1,5.1,5.1,5.1,C,3.54,8.0,6.93,161.4,4,0.0,161.4,0,5.88,547.5,3,0.0,153.4,0,2.79,122.1,1,64.4,봉천동 빌라 023,서울 관악구 봉천동,37.4811676,126.9525273,1700,50,8,7,2.0
서울대입구역,synthetic_market_model,SYN0024,,봉천동 원룸 024,서울 관악구 봉천동,37.4806293,126.9547935,원룸,2400,53,6,"월세 2,400/53",반지하/4층,27.1,20.1,남동향,2026.05.18,풀옵션; 엘리베이터; 채광 양호; 역세권 도보권,풀옵션; 엘리베이터; 채광 양호; 역세권 도보권,2299,194,서울대입구역,8,풀옵션; 엘리베이터; 채광 양호; 역세권 도보권,,O,X,X,O,X,O,37.91,3.79,3.79,3.79,3.79,D,1.52,8.0,0.0,334.4,0,0.0,334.4,0,7.62,355.9,2,0.0,327.3,0,0.0,317.8,0,33.3,봉천동 원룸 024,서울 관악구 봉천동,37.4806293,126.9547935,2400,53,6,8,2.0
서울대입구역,synthetic_market_model,SYN0025,,봉천동 분리형원룸 025,서울 관악구 봉천동,37.4837045,126.9510056,분리형원룸,2200,65,13,"월세 2,200/65",반지하/4층,32.5,25.7,동향,2026.06.03,신축/준신축; 풀옵션; 엘리베이터; 분리형; 즉시입주 가능; 역세권 도보권,신축/준신축; 풀옵션; 엘리베이터; 분리형,2643,314,서울대입구역,10,신축/준신축; 풀옵션; 엘리베이터; 분리형; 즉시입주 가능; 역세권 도보권,,O,X,X,O,O,O,62.27,6.23,6.23,6.23,6.23,B,5.27,8.0,10.0,89.5,8,0.0,89.2,0,4.61,645.2,2,4.96,90.5,1,6.05,89.5,2,83.3,봉천동 분리형원룸 025,서울 관악구 봉천동,37.4837045,126.9510056,2200,65,13,10,2.0
서울대입구역,synthetic_market_model,SYN0026,,봉천동 분리형원룸 026,서울 관악구 봉천동,37.4768728,126.9534917,분리형원룸,2000,59,7,"월세 2,000/59",6/7층,30.7,24.3,남동향,2026.06.03,주차 가능; 분리형; 채광 양호; 역세권 도보권; 학교 접근성 양호,주차 가능; 분리형; 채광 양호; 역세권 도보권,1877,487,서울대입구역,8,주차 가능; 분리형; 채광 양호; 역세권 도보권; 학교 접근성 양호,,X,O,X,X,X,O,22.45,2.25,2.25,2.25,2.25,D,1.57,3.5,0.0,523.4,0,0.0,643.8,0,7.85,326.5,2,0.0,636.0,0,0.0,523.4,0,10.0,봉천동 분리형원룸 026,서울 관악구 봉천동,37.4768728,126.9534917,2000,59,7,8,2.0
서울대입구역,synthetic_market_model,SYN0027,,봉천동 원룸 027,서울 관악구 봉천동,37.4830816,126.9515768,원룸,2800,54,7,"월세 2,800/54",3/4층,22.7,16.2,동향,2026.05.27,신축/준신축; 풀옵션; 역세권 도보권,신축/준신축; 풀옵션; 역세권 도보권,2571,230,서울대입구역,8,신축/준신축; 풀옵션; 역세권 도보권,,O,O,O,O,X,O,80.61,8.06,8.06,8.06,8.06,A-,7.02,10.0,10.0,38.5,8,4.23,33.1,5,3.54,728.0,3,9.49,36.1,1,8.26,67.4,4,96.7,봉천동 원룸 027,서울 관악구 봉천동,37.4830816,126.9515768,2800,54,7,8,2.0
서울대입구역,synthetic_market_model,SYN0028,,봉천동 원룸 028,서울 관악구 봉천동,37.4799587,126.9523026,원룸,2800,61,11,"월세 2,800/61",3/7층,28.4,19.9,남향,2026.06.03,신축/준신축; 풀옵션; 채광 양호; 역세권 도보권,신축/준신축; 풀옵션; 채광 양호; 역세권 도보권,2221,144,서울대입구역,9,신축/준신축; 풀옵션; 채광 양호; 역세권 도보권,,O,O,X,X,X,O,37.71,3.77,3.77,3.77,3.77,D,1.49,8.0,0.66,286.9,1,0.0,286.9,0,6.49,501.1,2,0.0,279.2,0,0.0,235.5,0,32.2,봉천동 원룸 028,서울 관악구 봉천동,37.4799587,126.9523026,2800,61,11,9,2.0
서울대입구역,synthetic_market_model,SYN0029,,봉천동 빌라 029,서울 관악구 봉천동,37.4787879,126.953588,빌라,2200,54,5,"월세 2,200/54",반지하/3층,48.3,36.2,남향,2026.06.09,풀옵션; 주차 가능; 복층; 채광 양호; 역세권 도보권; 학교 접근성 양호,풀옵션; 주차 가능; 복층; 채광 양호,2090,280,서울대입구역,9,풀옵션; 주차 가능; 복층; 채광 양호; 역세권 도보권; 학교 접근성 양호,,X,X,X,X,X,X,9.89,0.99,0.99,0.99,0.99,D,1.52,0.0,0.0,442.0,0,0.0,442.0,0,7.61,357.3,2,0.0,434.0,0,0.0,397.4,0,1.1,봉천동 빌라 029,서울 관악구 봉천동,37.4787879,126.953588,2200,54,5,9,2.0
서울대입구역,synthetic_market_model,SYN0030,,봉천동 투룸 030,서울 관악구 봉천동,37.4813646,126.9524287,투룸,1500,66,11,"월세 1,500/66",반지하/5층,46.4,31.3,남향,2026.06.09,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조; 채광 양호; 즉시입주 가능; 역세권 도보권,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조,2377,29,서울대입구역,9,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조; 채광 양호; 즉시입주 가능; 역세권 도보권,,X,X,X,O,O,O,40.26,4.03,4.03,4.03,4.03,D,4.31,3.5,8.11,137.8,4,0.0,137.8,0,5.62,567.4,3,1.68,129.9,1,5.0,100.0,2,40.0,봉천동 투룸 030,서울 관악구 봉천동,37.4813646,126.9524287,1500,66,11,9,2.0
낙성대역,synthetic_market_model,SYN0031,,인헌동 원룸 031,서울 관악구 인헌동,37.477204,126.9633726,원룸,850,54,4,월세 850/54,반지하/3층,28.3,19.7,남서향,2026.06.03,신축/준신축; 옵션 언급; 채광 양호; 역세권 도보권; 학교 접근성 양호,신축/준신축; 옵션 언급; 채광 양호; 역세권 도보권,2114,41,낙성대역,9,신축/준신축; 옵션 언급; 채광 양호; 역세권 도보권; 학교 접근성 양호,,X,X,X,O,X,X,50.78,5.08,5.08,5.08,5.08,C,6.73,2.0,10.0,23.2,9,0.0,76.1,0,6.18,524.8,1,10.0,25.3,2,10.0,23.2,5,63.3,인헌동 원룸 031,서울 관악구 인헌동,37.477204,126.9633726,850,54,4,9,2.0
낙성대역,synthetic_market_model,SYN0032,,인헌동 빌라 032,서울 관악구 인헌동,37.4819227,126.9581065,빌라,1300,42,7,"월세 1,300/42",1/4층,46.0,33.7,남서향,2026.05.18,주차 가능; 채광 양호; 기준역 도보권,주차 가능; 채광 양호; 기준역 도보권,2477,742,낙성대역,6,주차 가능; 채광 양호; 기준역 도보권,,O,X,X,O,O,X,39.19,3.92,3.92,3.92,3.92,D,1.45,8.5,0.0,545.7,0,0.0,537.7,0,7.26,402.4,1,0.0,525.2,0,0.0,537.7,0,37.8,인헌동 빌라 032,서울 관악구 인헌동,37.4819227,126.9581065,1300,42,7,6,2.0
낙성대역,synthetic_market_model,SYN0033,,인헌동 투룸 033,서울 관악구 인헌동,37.4803672,126.9621181,투룸,1200,53,7,"월세 1,200/53",1/4층,42.4,31.4,서향,2026.05.27,주차 가능; 투룸 구조; 즉시입주 가능; 역세권 도보권,주차 가능; 투룸 구조; 즉시입주 가능; 역세권 도보권,2398,406,낙성대역,7,주차 가능; 투룸 구조; 즉시입주 가능; 역세권 도보권,,O,X,O,O,X,X,43.86,4.39,4.39,4.39,4.39,D,1.36,10.0,0.0,329.7,0,0.0,329.7,0,6.82,459.0,1,0.0,336.7,0,0.0,249.5,0,50.0,인헌동 투룸 033,서울 관악구 인헌동,37.4803672,126.9621181,1200,53,7,7,2.0
낙성대역,synthetic_market_model,SYN0034,,인헌동 원룸 034,서울 관악구 인헌동,37.4718907,126.9680623,원룸,850,39,6,월세 850/39,5/7층,21.2,16.9,남동향,2026.06.09,풀옵션; 주차 가능; 채광 양호; 즉시입주 가능; 기준역 도보권; 학교 접근성 양호,풀옵션; 주차 가능; 채광 양호; 즉시입주 가능,1864,680,낙성대역,7,풀옵션; 주차 가능; 채광 양호; 즉시입주 가능; 기준역 도보권; 학교 접근성 양호,,X,O,O,X,X,O,13.6,1.36,1.36,1.36,1.36,D,0.21,3.5,0.0,647.1,0,0.0,647.1,0,1.04,920.1,1,0.0,649.1,0,0.0,647.1,0,2.2,인헌동 원룸 034,서울 관악구 인헌동,37.4718907,126.9680623,850,39,6,7,2.0
낙성대역,synthetic_market_model,SYN0035,,인헌동 투룸 035,서울 관악구 인헌동,37.4728713,126.9569775,투룸,1000,71,4,"월세 1,000/71",3/4층,58.7,43.4,남동향,2026.06.09,풀옵션; 투룸 구조; 채광 양호; 즉시입주 가능; 기준역 도보권; 학교 접근성 양호,풀옵션; 투룸 구조; 채광 양호; 즉시입주 가능,1470,744,낙성대역,8,풀옵션; 투룸 구조; 채광 양호; 즉시입주 가능; 기준역 도보권; 학교 접근성 양호,,O,O,X,O,X,O,43.7,4.37,4.37,4.37,4.37,D,1.34,10.0,0.0,388.7,0,0.0,816.4,0,6.69,475.5,2,0.0,764.7,0,0.0,388.7,0,48.9,인헌동 투룸 035,서울 관악구 인헌동,37.4728713,126.9569775,1000,71,4,8,2.0
낙성대역,synthetic_market_model,SYN0036,,인헌동 투룸 036,서울 관악구 인헌동,37.4795452,126.9637428,투룸,950,70,10,월세 950/70,반지하/3층,44.7,32.8,남향,2026.06.03,신축/준신축; 옵션 언급; 주차 가능; 투룸 구조; 채광 양호; 즉시입주 가능; 역세권 도보권,신축/준신축; 옵션 언급; 주차 가능; 투룸 구조,2365,290,낙성대역,10,신축/준신축; 옵션 언급; 주차 가능; 투룸 구조; 채광 양호; 즉시입주 가능; 역세권 도보권,,O,X,X,O,O,O,45.25,4.53,4.53,4.53,4.53,D,2.66,8.0,5.03,199.5,9,0.0,199.5,0,5.73,559.1,1,0.0,204.5,0,0.0,187.2,0,54.4,인헌동 투룸 036,서울 관악구 인헌동,37.4795452,126.9637428,950,70,10,10,2.0
